code,name,sector
1332,ニッスイ,水産・農林
1605,INPEX,鉱業
1801,大成建設,建設
1802,大林組,建設
1812,鹿島建設,建設
1925,大和ハウス工業,建設
1928,積水ハウス,建設
1963,日揮ホールディングス,建設
2269,明治ホールディングス,食料品
2413,エムスリー,サービス
2432,ディー・エヌ・エー,サービス
2502,アサヒグループホールディングス,食料品
2503,キリンホールディングス,食料品
2801,キッコーマン,食料品
2802,味の素,食料品
2914,日本たばこ産業,食料品
3382,セブン&アイ・ホールディングス,小売
3402,東レ,繊維
3407,旭化成,化学
3659,ネクソン,情報通信
4004,レゾナック・ホールディングス,化学
4005,住友化学,化学
4021,日産化学,化学
4042,東ソー,化学
4061,デンカ,化学
4063,信越化学工業,化学
4183,三井化学,化学
4188,三菱ケミカルグループ,化学
4204,積水化学工業,化学
4452,花王,化学
4502,武田薬品工業,医薬品
4503,アステラス製薬,医薬品
4507,塩野義製薬,医薬品
4519,中外製薬,医薬品
4523,エーザイ,医薬品
4528,小野薬品工業,医薬品
4543,テルモ,精密機器
4568,第一三共,医薬品
4578,大塚ホールディングス,医薬品
4661,オリエンタルランド,サービス
4689,LINEヤフー,情報通信
4751,サイバーエージェント,サービス
4755,楽天グループ,サービス
4901,富士フイルムホールディングス,化学
4911,資生堂,化学
5016,JX金属,非鉄金属
5019,出光興産,石油・石炭
5020,ENEOSホールディングス,石油・石炭
5108,ブリヂストン,ゴム
5201,AGC,ガラス・土石
5214,日本電気硝子,ガラス・土石
5233,太平洋セメント,ガラス・土石
5333,日本ガイシ,ガラス・土石
5401,日本製鉄,鉄鋼
5406,神戸製鋼所,鉄鋼
5411,JFEホールディングス,鉄鋼
5631,日本製鋼所,機械
5706,三井金属鉱業,非鉄金属
5713,住友金属鉱山,非鉄金属
5714,DOWAホールディングス,非鉄金属
5801,古河電気工業,非鉄金属
5802,住友電気工業,非鉄金属
5803,フジクラ,非鉄金属
6098,リクルートホールディングス,サービス
6146,ディスコ,機械
6273,SMC,機械
6301,小松製作所,機械
6302,住友重機械工業,機械
6305,日立建機,機械
6323,ローツェ,機械
6326,クボタ,機械
6367,ダイキン工業,機械
6501,日立製作所,電気機器
6503,三菱電機,電気機器
6504,富士電機,電気機器
6506,安川電機,電気機器
6526,ソシオネクスト,電気機器
6532,ベイカレント,サービス
6594,ニデック,電気機器
6645,オムロン,電気機器
6701,日本電気,電気機器
6702,富士通,電気機器
6723,ルネサスエレクトロニクス,電気機器
6752,パナソニックホールディングス,電気機器
6758,ソニーグループ,電気機器
6762,TDK,電気機器
6857,アドバンテスト,電気機器
6861,キーエンス,電気機器
6902,デンソー,輸送用機器
6920,レーザーテック,電気機器
6954,ファナック,電気機器
6971,京セラ,電気機器
6981,村田製作所,電気機器
7011,三菱重工業,機械
7012,川崎重工業,機械
7013,IHI,機械
7202,いすゞ自動車,輸送用機器
7203,トヨタ自動車,輸送用機器
7261,マツダ,輸送用機器
7267,本田技研工業,輸送用機器
7269,スズキ,輸送用機器
7270,SUBARU,輸送用機器
7272,ヤマハ発動機,輸送用機器
7532,パン・パシフィック・インターナショナルHD,小売
7735,SCREENホールディングス,電気機器
7741,HOYA,精密機器
7751,キヤノン,電気機器
7832,バンダイナムコホールディングス,その他製品
7974,任天堂,その他製品
8001,伊藤忠商事,卸売
8002,丸紅,卸売
8015,豊田通商,卸売
8031,三井物産,卸売
8035,東京エレクトロン,電気機器
8053,住友商事,卸売
8058,三菱商事,卸売
8113,ユニ・チャーム,化学
8267,イオン,小売
8306,三菱UFJフィナンシャル・グループ,銀行
8308,りそなホールディングス,銀行
8309,三井住友トラスト・ホールディングス,銀行
8316,三井住友フィナンシャルグループ,銀行
8411,みずほフィナンシャルグループ,銀行
8591,オリックス,その他金融
8601,大和証券グループ本社,証券
8604,野村ホールディングス,証券
8630,SOMPOホールディングス,保険
8697,日本取引所グループ,その他金融
8725,MS&ADインシュアランスグループHD,保険
8750,第一生命ホールディングス,保険
8766,東京海上ホールディングス,保険
8801,三井不動産,不動産
8802,三菱地所,不動産
8830,住友不動産,不動産
9020,東日本旅客鉄道,陸運
9021,西日本旅客鉄道,陸運
9022,東海旅客鉄道,陸運
9064,ヤマトホールディングス,陸運
9101,日本郵船,海運
9104,商船三井,海運
9107,川崎汽船,海運
9201,日本航空,空運
9202,ANAホールディングス,空運
9432,日本電信電話,情報通信
9433,KDDI,情報通信
9434,ソフトバンク,情報通信
9501,東京電力ホールディングス,電気・ガス
9502,中部電力,電気・ガス
9503,関西電力,電気・ガス
9531,東京ガス,電気・ガス
9532,大阪ガス,電気・ガス
9613,NTTデータグループ,情報通信
9684,スクウェア・エニックス・ホールディングス,情報通信
9697,カプコン,情報通信
9735,セコム,サービス
9766,コナミグループ,情報通信
9843,ニトリホールディングス,小売
9983,ファーストリテイリング,小売
9984,ソフトバンクグループ,情報通信
